,id,benchmark_dataset_name,origin,source_format,summary_origin,error_origin,error_type,error_categorization,model,nonfactual_spans,nonfactual_spans_category,source,summary
29,38131741,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TranS2S,\'s largest stee<sep>operation,"['extrinsic', 'extrinsic']","                                               document  \
3723  The firm said it had signed a Letter of Intent...   

                                                summary        id  
3723  Tata Steel has announced its preferred bidder ...  38131741  ",tata steel has said it is in talks with the uk\'s largest steel group to sell its operations to the uk.
30,37554205,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,PtGen,a mother has been given a ``bone marrow transplant\'\'after she was taken to hospital with a bone marrow transpla,['extrinsic'],"                                               document  \
3203  Erin Cross, from Chester, received gene editin...   

                                                summary        id  
3203  The family of a six-year-old girl suffering fr...  37554205  ",a mother has been given a ``bone marrow transplant\'\'after she was taken to hospital with a bone marrow transplant.
31,37554205,XSUMFaith,XSUM,document,Reference,natural,spans,fine_grained,Gold,,[],"                                               document  \
3203  Erin Cross, from Chester, received gene editin...   

                                                summary        id  
3203  The family of a six-year-old girl suffering fr...  37554205  ",the family of a six-year-old girl suffering from leukaemia are celebrating pioneering treatment which they say has ``saved her life\'\'.
32,37554205,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TConvS2S,said<sep>lucky to be alive,"['intrinsic', 'extrinsic']","                                               document  \
3203  Erin Cross, from Chester, received gene editin...   

                                                summary        id  
3203  The family of a six-year-old girl suffering fr...  37554205  ",a woman who was treated for leukaemia after being diagnosed with leukaemia has said she is ``lucky to be alive\'\'.
33,37554205,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,BERTS2S,cheshire<sep>by her parents,"['extrinsic', 'intrinsic']","                                               document  \
3203  Erin Cross, from Chester, received gene editin...   

                                                summary        id  
3203  The family of a six-year-old girl suffering fr...  37554205  ",a six-year-old girl from cheshire who was given a rare form of leukaemia by her parents has had a life-changing trial in
34,37554205,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TranS2S,terminally ill<sep>five<sep>said,"['extrinsic', 'extrinsic', 'extrinsic']","                                               document  \
3203  Erin Cross, from Chester, received gene editin...   

                                                summary        id  
3203  The family of a six-year-old girl suffering fr...  37554205  ","a terminally ill five-year-old boy with leukaemia said she had "" pushed her bone "" to get a transplant."
35,33505312,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,PtGen,smal,['extrinsic'],"                                               document  \
2656  But just north of the small market town of Kor...   

                                                summary        id  
2656  The rains have been poor again in this mountai...  33505312  ","in ethiopia\'s capital, ethiopia, a small ward and a ward in the capital, ethiopia, is one of the biggest challenges in the country\'s history."
36,33505312,XSUMFaith,XSUM,document,Reference,natural,spans,fine_grained,Gold,the rains have been poor again in this mountainous corner of north-eastern ethiopia-the site of the 1984 famine in which hundreds of thousands of people starved to death,['extrinsic'],"                                               document  \
2656  But just north of the small market town of Kor...   

                                                summary        id  
2656  The rains have been poor again in this mountai...  33505312  ",the rains have been poor again in this mountainous corner of north-eastern ethiopia-the site of the 1984 famine in which hundreds of thousands of people starved to death.
37,33505312,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TConvS2S,"in our series of letters from african journalists, novelist and writer adaobi tricia nwaubani looks at the number of people living in the uk",['extrinsic'],"                                               document  \
2656  But just north of the small market town of Kor...   

                                                summary        id  
2656  The rains have been poor again in this mountai...  33505312  ","in our series of letters from african journalists, novelist and writer adaobi tricia nwaubani looks at the number of people living in the uk."
38,33505312,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,BERTS2S,it\'s hard to see what the world is lik,['extrinsic'],"                                               document  \
2656  But just north of the small market town of Kor...   

                                                summary        id  
2656  The rains have been poor again in this mountai...  33505312  ",it\'s hard to see what the world is like.
39,33505312,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TranS2S,"at a time when ethiopians go to a new hospital in the capital, addis ababa, there\'s a few hundre",['extrinsic'],"                                               document  \
2656  But just north of the small market town of Kor...   

                                                summary        id  
2656  The rains have been poor again in this mountai...  33505312  ","at a time when ethiopians go to a new hospital in the capital, addis ababa, there\'s a few hundred, 000-a"
40,35086370,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,PtGen,,[],"                                               document  \
3521  Ofsted says it has found evidence of children ...   

                                                summary        id  
3521  Education Secretary Nicky Morgan says anyone f...  35086370  ",ofsted chief sir michael wilshaw has said she is ``shocked and unhelpful\'\'by the government\'s funding for illegal schools in england.
41,35086370,XSUMFaith,XSUM,document,Reference,natural,spans,fine_grained,Gold,nicky morgan<sep>fines,"['intrinsic', 'extrinsic']","                                               document  \
3521  Ofsted says it has found evidence of children ...   

                                                summary        id  
3521  Education Secretary Nicky Morgan says anyone f...  35086370  ",education secretary nicky morgan says anyone found running an illegal backstreet school in england will face fines or a prison sentence.
42,35086370,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TConvS2S,head<sep>accused,"['intrinsic', 'extrinsic']","                                               document  \
3521  Ofsted says it has found evidence of children ...   

                                                summary        id  
3521  Education Secretary Nicky Morgan says anyone f...  35086370  ","the head of ofsted, sir michael wilshaw, has been accused of failing to prevent child abuse in schools in england."
43,35086370,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,BERTS2S,,[],"                                               document  \
3521  Ofsted says it has found evidence of children ...   

                                                summary        id  
3521  Education Secretary Nicky Morgan says anyone f...  35086370  ","schools could be prosecuted for running illegal schools, under plans being considered by the education secretary."
44,35086370,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TranS2S,,[],"                                               document  \
3521  Ofsted says it has found evidence of children ...   

                                                summary        id  
3521  Education Secretary Nicky Morgan says anyone f...  35086370  ","ofsted chief sir michael wilshaw has said it is "" highly concerned "" about the government\'s handling of illegal schools in england."
45,32446508,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,PtGen,anglesey,['extrinsic'],"                                                document  \
10986  The 56ft (17.1m) converted trawler was 6 miles...   

                                                 summary        id  
10986  Three people have been rescued from a boat whi...  32446508  ",an rnli lifeboat crew has been placed a pump after it became stranded on a [UNK] trawler off the coast of anglesey.
46,32446508,XSUMFaith,XSUM,document,Reference,natural,spans,fine_grained,Gold,three people have been rescued from a boat which had started to take on water off the anglesey coast on friday,['extrinsic'],"                                                document  \
10986  The 56ft (17.1m) converted trawler was 6 miles...   

                                                 summary        id  
10986  Three people have been rescued from a boat whi...  32446508  ",three people have been rescued from a boat which had started to take on water off the anglesey coast on friday.
47,32446508,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TConvS2S,"a fisherman has been rescued from the sea off the coast of south wales, the rnli has confirmed",['extrinsic'],"                                                document  \
10986  The 56ft (17.1m) converted trawler was 6 miles...   

                                                 summary        id  
10986  Three people have been rescued from a boat whi...  32446508  ","a fisherman has been rescued from the sea off the coast of south wales, the rnli has confirmed."
48,32446508,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,BERTS2S,anglesey,['extrinsic'],"                                                document  \
10986  The 56ft (17.1m) converted trawler was 6 miles...   

                                                 summary        id  
10986  Three people have been rescued from a boat whi...  32446508  ",a fishing boat has been towed to safety after it broke down in the sea off anglesey.
49,32446508,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TranS2S,fisherman<sep>north west coast,"['extrinsic', 'extrinsic']","                                                document  \
10986  The 56ft (17.1m) converted trawler was 6 miles...   

                                                 summary        id  
10986  Three people have been rescued from a boat whi...  32446508  ",a fisherman has been rescued after his boat got into difficulty off the north west coast.
50,36368433,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,PtGen,first premier league club to win the champions leagu<sep>boss loui,"['extrinsic', 'extrinsic']","                                               document  \
8287  Media playback is not supported on this device...   

                                                summary        id  
8287  Zlatan Ibrahimovic could ""plug the financial g...  36368433  ","manchester united\'s zlatan ibrahimovic could become the first premier league club to win the champions league, says former manchester united boss louis wilson."
51,36368433,XSUMFaith,XSUM,document,Reference,natural,spans,fine_grained,Gold,,[],"                                               document  \
8287  Media playback is not supported on this device...   

                                                summary        id  
8287  Zlatan Ibrahimovic could ""plug the financial g...  36368433  ",zlatan ibrahimovic could ``plug the financial gap\'\'of manchester united\'s failure to reach the champions league-should he join the club.
52,36368433,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TConvS2S,manchester united<sep>first player in the world<sep>manager danny,"['intrinsic', 'extrinsic', 'extrinsic']","                                               document  \
8287  Media playback is not supported on this device...   

                                                summary        id  
8287  Zlatan Ibrahimovic could ""plug the financial g...  36368433  ","manchester united could be the first player in the world to win a premier league title, says manager danny wilson."
53,36368433,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,BERTS2S,summe,['extrinsic'],"                                               document  \
8287  Media playback is not supported on this device...   

                                                summary        id  
8287  Zlatan Ibrahimovic could ""plug the financial g...  36368433  ",zlatan ibrahimovic could become the world\'s most expensive shirt when he signed for manchester united this summer.
54,36368433,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TranS2S,more than £20,['intrinsic'],"                                               document  \
8287  Media playback is not supported on this device...   

                                                summary        id  
8287  Zlatan Ibrahimovic could ""plug the financial g...  36368433  ",zlatan ibrahimovic\'s shirt is worth more than £20m-and now manchester united\'s zlatan ibrahimovic could win the
55,37814323,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,PtGen,premier league with a narrow victory<sep>first leg of their league play-off semi-final,"['extrinsic', 'extrinsic']","                                               document  \
8402  Charlie Austin's sixth-minute penalty appeared...   

                                                summary        id  
8402  Robert Snodgrass inspired Hull City to victory...  37814323  ",hull fc earned their first win of the season in the premier league with a narrow victory over southampton in the first leg of their league play-off semi-final.
56,37814323,XSUMFaith,XSUM,document,Reference,natural,spans,fine_grained,Gold,inspired<sep>earned his first three points since being appointed permanent head coach,"['intrinsic', 'extrinsic']","                                               document  \
8402  Charlie Austin's sixth-minute penalty appeared...   

                                                summary        id  
8402  Robert Snodgrass inspired Hull City to victory...  37814323  ",robert snodgrass inspired hull city to victory against southampton as mike phelan earned his first three points since being appointed permanent head coach.
57,37814323,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TConvS2S,premier league<sep>held to a draw,"['extrinsic', 'intrinsic']","                                               document  \
8402  Charlie Austin's sixth-minute penalty appeared...   

                                                summary        id  
8402  Robert Snodgrass inspired Hull City to victory...  37814323  ",hull city moved back to the top of the premier league as they were held to a draw at home to hull city.
58,37814323,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,BERTS2S,first premier leagu<sep>victor,"['extrinsic', 'intrinsic']","                                               document  \
8402  Charlie Austin's sixth-minute penalty appeared...   

                                                summary        id  
8402  Robert Snodgrass inspired Hull City to victory...  37814323  ",robert snodgrass\'s first premier league goal was enough to give southampton victory over hull city.
59,37814323,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TranS2S,goalless draw,['extrinsic'],"                                               document  \
8402  Charlie Austin's sixth-minute penalty appeared...   

                                                summary        id  
8402  Robert Snodgrass inspired Hull City to victory...  37814323  ",hull city missed the chance to go top of the premier league as they were held to a goalless draw by southampton.
60,37576755,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,PtGen,,[],"                                               document  \
4233  But VR can also be embedded in reality to give...   

                                                summary        id  
4233  Think of virtual reality and you will probably...  37576755  ",a virtual reality film about autism has been launched in a new film about the uk\'s national autistic society.
61,37576755,XSUMFaith,XSUM,document,Reference,natural,spans,fine_grained,Gold,think of virtual reality and you will probably conjure up images of fantastical landscapes in a game or film set,['extrinsic'],"                                               document  \
4233  But VR can also be embedded in reality to give...   

                                                summary        id  
4233  Think of virtual reality and you will probably...  37576755  ",think of virtual reality and you will probably conjure up images of fantastical landscapes in a game or film set.
62,37576755,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TConvS2S,,[],"                                               document  \
4233  But VR can also be embedded in reality to give...   

                                                summary        id  
4233  Think of virtual reality and you will probably...  37576755  ",people in the uk are being encouraged to sign a virtual reality film for the first time.
63,37576755,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,BERTS2S,,[],"                                               document  \
4233  But VR can also be embedded in reality to give...   

                                                summary        id  
4233  Think of virtual reality and you will probably...  37576755  ",virtual reality ( vr ) is often used to understand people who have autism.
64,37576755,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TranS2S,,[],"                                               document  \
4233  But VR can also be embedded in reality to give...   

                                                summary        id  
4233  Think of virtual reality and you will probably...  37576755  ",people in the uk are being urged to take part in a virtual reality tour of the town\'s shopping centre-in which they are being treated with
65,29347895,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,PtGen,"age of 88, his family has said<sep>age of 72","['extrinsic', 'extrinsic']","                                               document  \
1445  He died at his home in Cambridge following an ...   

                                                summary        id  
1445  British conductor Christopher Hogwood has died...  29347895  ","music conductor christopher hogwood has died at the age of 88, his family has said. said he has died at the age of 72."
66,29347895,XSUMFaith,XSUM,document,Reference,natural,spans,fine_grained,Gold,british<sep>73,"['extrinsic', 'extrinsic']","                                               document  \
1445  He died at his home in Cambridge following an ...   

                                                summary        id  
1445  British conductor Christopher Hogwood has died...  29347895  ",british conductor christopher hogwood has died aged 73.
67,29347895,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TConvS2S,michael<sep>age of 89,"['extrinsic', 'extrinsic']","                                               document  \
1445  He died at his home in Cambridge following an ...   

                                                summary        id  
1445  British conductor Christopher Hogwood has died...  29347895  ","tributes have been paid to british composer michael handel, who has died at the age of 89."
68,29347895,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,BERTS2S,classical<sep>age of 83,"['intrinsic', 'extrinsic']","                                               document  \
1445  He died at his home in Cambridge following an ...   

                                                summary        id  
1445  British conductor Christopher Hogwood has died...  29347895  ",veteran classical music conductor christopher hogwood has died at the age of 83.
69,29347895,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TranS2S,age of 86,['extrinsic'],"                                               document  \
1445  He died at his home in Cambridge following an ...   

                                                summary        id  
1445  British conductor Christopher Hogwood has died...  29347895  ","tributes have been paid to renowned renowned music director christopher lee, who has died at the age of 86."
70,35426361,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,PtGen,dark colour,['intrinsic'],"                                              document  \
218  Biologists studied a group of Sydney octopuses...   

                                               summary        id  
218  Octopuses may have more complex social interac...  35426361  ","the dark colour of the dark colour in australia appears to be a ``dark colour\'\', a study has found."
71,35426361,XSUMFaith,XSUM,document,Reference,natural,spans,fine_grained,Gold,,[],"                                              document  \
218  Biologists studied a group of Sydney octopuses...   

                                               summary        id  
218  Octopuses may have more complex social interac...  35426361  ","octopuses may have more complex social interactions than previously believed, a new study has found."
72,35426361,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TConvS2S,some of the world\'s most provocative colour colour can be used to harass the octopu,['extrinsic'],"                                              document  \
218  Biologists studied a group of Sydney octopuses...   

                                               summary        id  
218  Octopuses may have more complex social interac...  35426361  ",a new study suggests that some of the world\'s most provocative colour colour can be used to harass the octopus.
73,35426361,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,BERTS2S,world\'s mos,['extrinsic'],"                                              document  \
218  Biologists studied a group of Sydney octopuses...   

                                               summary        id  
218  Octopuses may have more complex social interac...  35426361  ","one of the world\'s most aggressive octopuses appears to show signs of aggressive behaviour, a study suggests."
74,35426361,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TranS2S,,[],"                                              document  \
218  Biologists studied a group of Sydney octopuses...   

                                               summary        id  
218  Octopuses may have more complex social interac...  35426361  ","octopuses may have to change the colour of octopuses, a study suggests."
75,34490431,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,PtGen,harry potter lock,['intrinsic'],"                                                document  \
11319  The Swift Archway Cranford 545 caravan was sto...   

                                                 summary        id  
11319  Star Wars and Harry Potter star Warwick Davis,...  34490431  ","a caravan stolen from a harry potter lock has been stolen from a site in cambridgeshire, police have said."
76,34490431,XSUMFaith,XSUM,document,Reference,natural,spans,fine_grained,Gold,warwick<sep>ewok in return of the jedi,"['extrinsic', 'extrinsic']","                                                document  \
11319  The Swift Archway Cranford 545 caravan was sto...   

                                                 summary        id  
11319  Star Wars and Harry Potter star Warwick Davis,...  34490431  ","star wars and harry potter star warwick davis, who played an ewok in return of the jedi, has taken to twitter to help recover his stolen caravan."
77,34490431,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TConvS2S,caravan park,['extrinsic'],"                                                document  \
11319  The Swift Archway Cranford 545 caravan was sto...   

                                                 summary        id  
11319  Star Wars and Harry Potter star Warwick Davis,...  34490431  ",a caravan stolen from a cambridgeshire caravan park has been stolen from a caravan in cambridgeshire.
78,34490431,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,BERTS2S,,[],"                                                document  \
11319  The Swift Archway Cranford 545 caravan was sto...   

                                                 summary        id  
11319  Star Wars and Harry Potter star Warwick Davis,...  34490431  ","harry potter star harry potter and star wars star harry potter have had his caravan stolen, police have said."
79,34490431,XSUMFaith,XSUM,document,XFORMER,natural,spans,fine_grained,TranS2S,"james<sep>he was "" locked in a caravan<sep>break-in","['extrinsic', 'intrinsic', 'extrinsic']","                                                document  \
11319  The Swift Archway Cranford 545 caravan was sto...   

                                                 summary        id  
11319  Star Wars and Harry Potter star Warwick Davis,...  34490431  ","star wars actor james davis said he was "" locked in a caravan "" and had his caravan stolen during a break-in."
